id,name,EditableSynonymList_graph_id
,PDGF1,esl_20200604115458934811
,ARF,esl_20200604115458934861
,CDK4I,esl_20200604115458934861
,CDKN2,esl_20200604115458934861
,CMM2,esl_20200604115458934861
,INK4,esl_20200604115458934861
,INK4A,esl_20200604115458934861
,MLM,esl_20200604115458934861
,MTS-1,esl_20200604115458934861
,MTS1,esl_20200604115458934861
,P14,esl_20200604115458934861
,P14ARF,esl_20200604115458934861
,P16,esl_20200604115458934861
,P16-INK4A,esl_20200604115458934861
,P16INK4,esl_20200604115458934861
,P16INK4A,esl_20200604115458934861
,P19,esl_20200604115458934861
,P19ARF,esl_20200604115458934861
,TP16,esl_20200604115458934861
,JAK1A,esl_20200604115458934905
,JAK1B,esl_20200604115458934905
,JTK3,esl_20200604115458934905
,NPC-A-13,esl_20200604115458934933
,PIM,esl_20200604115458934957
,ANX5,esl_20200604115458934981
,ENX2,esl_20200604115458934981
,HEL-S-7,esl_20200604115458934981
,PP4,esl_20200604115458934981
,RPRGL3,esl_20200604115458934981
,c-Raf,esl_20200604115458935008
,CMD1NN,esl_20200604115458935008
,CRAF,esl_20200604115458935008
,NS5,esl_20200604115458935008
,Raf-1,esl_20200604115458935008
,CSTF-77,esl_20200604115458935036
,THBS,esl_20200604115458935060
,THBS-1,esl_20200604115458935060
,TSP,esl_20200604115458935060
,TSP-1,esl_20200604115458935060
,TSP1,esl_20200604115458935060
,ACACT,esl_20200604115458935087
,ACAT,esl_20200604115458935087
,ACAT-1,esl_20200604115458935087
,ACAT1,esl_20200604115458935087
,SOAT,esl_20200604115458935087
,STAT,esl_20200604115458935087
,H2A.X,esl_20200604115458935116
,H2A/X,esl_20200604115458935116
,H2AFX,esl_20200604115458935116
,FAAP43,esl_20200604115458935141
,PHF9,esl_20200604115458935141
,POG,esl_20200604115458935141
,JMJD2B,esl_20200604115458935167
,TDRD14B,esl_20200604115458935167
,AS,esl_20200604115458935191
,B-4901,esl_20200604115458935191
,HLAB,esl_20200604115458935191
,CT1.3,esl_20200604115458935241
,HIP8,esl_20200604115458935241
,HYPD,esl_20200604115458935241
,MAGE3,esl_20200604115458935241
,MAGEA6,esl_20200604115458935241
,RCC,esl_20200604115458935270
,SCAR26,esl_20200604115458935270
,C17orf39,esl_20200604115458935303
,VID2,esl_20200604115458935303
,VID24,esl_20200604115458935303
,MST091,esl_20200604115458935329
,MST122,esl_20200604115458935329
,MST127,esl_20200604115458935329
,MSTP091,esl_20200604115458935329
,MSTP122,esl_20200604115458935329
,MSTP127,esl_20200604115458935329
,MXRA6,esl_20200604115458935329
,PPP1R155,esl_20200604115458935329
,TNS,esl_20200604115458935329
,HSTF1,esl_20200604115458935362
,SS-4-R,esl_20200604115458935385
,SS4-R,esl_20200604115458935385
,SS4R,esl_20200604115458935385
,MEKK9,esl_20200604115458935411
,MLK1,esl_20200604115458935411
,PRKE1,esl_20200604115458935411
,CASC7,esl_20200604115458935437
,EIF2C2,esl_20200604115458935437
,LINC00980,esl_20200604115458935437
,PPD,esl_20200604115458935437
,Q10,esl_20200604115458935437
,API4,esl_20200604115458935465
,EPR-1,esl_20200604115458935465
,CDHF15,esl_20200604115458935490
,CDHR10,esl_20200604115458935490
,hFat3,esl_20200604115458935490
,BDPLT16,esl_20200604115458935516
,BDPLT2,esl_20200604115458935516
,CD61,esl_20200604115458935516
,GP3A,esl_20200604115458935516
,GPIIIa,esl_20200604115458935516
,GT,esl_20200604115458935516
,CTB-1144G6.4,esl_20200604115458935642
,KIAA1914,esl_20200604115458935642
,XB130,esl_20200604115458935642
,FGFR1OP,esl_20200604115458935669
,FOP,esl_20200604115458935669
,JNK-55,esl_20200604115458935694
,JNK2,esl_20200604115458935694
,JNK2A,esl_20200604115458935694
,JNK2ALPHA,esl_20200604115458935694
,JNK2B,esl_20200604115458935694
,JNK2BETA,esl_20200604115458935694
,p54a,esl_20200604115458935694
,p54aSAPK,esl_20200604115458935694
,PRKM9,esl_20200604115458935694
,SAPK,esl_20200604115458935694
,SAPK1a,esl_20200604115458935694
,bHLHb20,esl_20200604115458935729
,CRS3,esl_20200604115458935729
,HEB,esl_20200604115458935729
,HsT17266,esl_20200604115458935729
,HTF4,esl_20200604115458935729
,p64,esl_20200604115458935729
,TCF-12,esl_20200604115458935729
,Mt-SSB,esl_20200604115458935760
,mtSSB,esl_20200604115458935760
,SOSS-B1,esl_20200604115458935760
,SSBP,esl_20200604115458935760
,ETF,esl_20200604115458935786
,TEAD-2,esl_20200604115458935786
,TEF-4,esl_20200604115458935786
,TEF4,esl_20200604115458935786
,BTPS2,esl_20200604115458935813
,DP2,esl_20200604115458935813
