name,panelName,geneDescription_graph_id,oncogenicCategory_graph_id,synonyms_graph_id,transcript_graph_id,MyGeneInfoGene_graph_id,JaxGene_graph_id,UniprotEntry_graph_Id,graph_id
ANKRD26,ANKRD26,es_20200428103418697000,es_20200422172136480721,esl_20200604115459016417,es_20200604115459016417,geneInfo_gene_22852,jax_gene_22852,uniprot_Q9UPS8,omnigene_22852
AKT1,AKT1,es_20200427155531373000,es_20200422172120404444,esl_20200604115459016445,es_20200604115459016445,geneInfo_gene_207,jax_gene_207,uniprot_P31749,omnigene_207
AKT2,AKT2,es_20200427155736369000,es_20200422172125256566,esl_20200604115459016472,es_20200604115459016472,geneInfo_gene_208,jax_gene_208,uniprot_P31751,omnigene_208
APEX1,APEX1,es_20200428135245728000,es_20200422172141997843,esl_20200604115459016498,es_20200604115459016498,geneInfo_gene_328,,uniprot_P27695,omnigene_328
AKT3,AKT3,es_2020042716031260000,es_20200422172127386598,esl_20200604115459016523,es_20200604115459016523,geneInfo_gene_10000,jax_gene_10000,uniprot_Q9Y243,omnigene_10000
ALK,ALK,es_20200427160741408000,es_20200422172129607557,esl_20200604115459016584,es_20200604115459016584,geneInfo_gene_238,jax_gene_238,uniprot_Q9UM73,omnigene_238
ARAF,ARAF,es_20200428140900470000,es_20200422172148041121,esl_20200604115459016612,es_20200604115459016612,geneInfo_gene_369,jax_gene_369,uniprot_P10398,omnigene_369
ARID1A,ARID1A,es_20200428151832373000,es_20200422172152135103,esl_20200604115459016638,es_20200604115459016638,geneInfo_gene_8289,jax_gene_8289,uniprot_O14497,omnigene_8289
ALOX12B,ALOX12B,es_20200428101519586000,es_20200422172132055960,esl_20200604115459016665,es_20200604115459016665,geneInfo_gene_242,jax_gene_242,uniprot_O75342,omnigene_242
APC,APC,es_20200428105655722000,es_20200422172139748030,esl_20200604115459016692,es_20200604115459016692,geneInfo_gene_324,jax_gene_324,uniprot_P25054,omnigene_324
ANKRD11,ANKRD11,es_20200428102809690000,es_20200422172134927991,esl_20200604115459016718,es_20200604115459016718,geneInfo_gene_29123,jax_gene_29123,uniprot_Q6UB99,omnigene_29123
ARID1B,ARID1B,es_20200428154148358000,es_20200422172155004436,esl_20200604115459016745,es_20200604115459016745,geneInfo_gene_57492,jax_gene_57492,uniprot_Q8NFD5,omnigene_57492
ARFRP1,ARFRP1,es_20200428145145576000,es_20200422172149598556,esl_20200604115459016772,es_20200604115459016772,geneInfo_gene_10139,jax_gene_10139,uniprot_Q13795,omnigene_10139
AXL,AXL,es_20200429141357979000,es_20200422172239650467,esl_20200604115459016799,es_20200604115459016799,geneInfo_gene_558,jax_gene_558,uniprot_P30530,omnigene_558
ARID5B,ARID5B,es_20200428163807639000,es_20200422172159557068,esl_20200604115459016826,es_20200604115459016826,geneInfo_gene_84159,jax_gene_84159,uniprot_Q14865,omnigene_84159
ARID2,ARID2,es_20200428160336224000,es_20200422172156821514,esl_20200604115459016852,es_20200604115459016852,geneInfo_gene_196528,jax_gene_196528,uniprot_Q68CP9,omnigene_196528
ATP11B,ATP11B,es_20200429102308279000,es_20200422172216588485,esl_20200604115459016879,es_20200604115459016879,geneInfo_gene_23200,,uniprot_Q9Y2G3,omnigene_23200
ASXL1,ASXL1,es_20200428165231307000,es_20200422172202681962,esl_20200604115459016905,es_20200604115459016905,geneInfo_gene_171023,jax_gene_171023,uniprot_Q8IXJ9,omnigene_171023
ASXL2,ASXL2,es_20200429085201870000,es_20200422172205386440,esl_20200604115459016931,es_20200604115459016931,geneInfo_gene_55252,jax_gene_55252,uniprot_Q76L83,omnigene_55252
ATM,ATM,es_20200429100747639000,es_20200422172212848285,esl_20200604115459016957,es_20200604115459016957,geneInfo_gene_472,jax_gene_472,uniprot_Q13315,omnigene_472
ATR,ATR,es_20200429101545831000,es_20200422172218754842,esl_20200604115459016984,es_20200604115459016984,geneInfo_gene_545,jax_gene_545,uniprot_Q13535,omnigene_545
AXIN2,AXIN2,es_20200429140830290000,es_20200422172236236775,esl_20200604115459017010,es_20200604115459017010,geneInfo_gene_8313,jax_gene_8313,uniprot_Q9Y2T1,omnigene_8313
ATRX,ATRX,es_20200429105553392000,es_20200422172221913425,esl_20200604115459017037,es_20200604115459017037,geneInfo_gene_546,jax_gene_546,uniprot_P46100,omnigene_546
AURKA,AURKA,es_20200429112929819000,es_20200422172226067821,esl_20200604115459017064,es_20200604115459017064,geneInfo_gene_6790,jax_gene_6790,uniprot_O14965,omnigene_6790
AURKB,AURKB,es_20200429113512498000,es_20200422172229278596,esl_20200604115459017091,es_20200604115459017091,geneInfo_gene_9212,jax_gene_9212,uniprot_Q96GD4,omnigene_9212
AXIN1,AXIN1,es_20200429134852268000,es_20200422172234216416,esl_20200604115459017117,es_20200604115459017117,geneInfo_gene_8312,jax_gene_8312,uniprot_O15169,omnigene_8312
B2M,B2M,es_20200511131415919000,es_20200422172242855102,esl_20200604115459017144,es_20200604115459017144,geneInfo_gene_567,jax_gene_567,uniprot_P61769,omnigene_567
BIRC2,BIRC2,es_20200507101705414000,es_20200422172325608415,esl_20200604115459017171,es_20200604115459017171,geneInfo_gene_329,jax_gene_329,uniprot_Q13490,omnigene_329
BAP1,BAP1,es_20200501152843658000,es_20200422172250640600,esl_20200604115459017197,es_20200604115459017197,geneInfo_gene_8314,jax_gene_8314,uniprot_Q92560,omnigene_8314
BARD1,BARD1,es_20200511133309684000,es_20200422172253885271,esl_20200604115459017224,es_20200604115459017224,geneInfo_gene_580,jax_gene_580,uniprot_Q99728,omnigene_580
BCL9,BCL9,es_20200508163328557000,es_20200422172313429329,esl_20200604115459017250,es_20200604115459017250,geneInfo_gene_607,jax_gene_607,uniprot_O00512,omnigene_607
BBC3,BBC3,es_20200511134010724000,es_20200422172256906804,esl_20200604115459017297,es_20200604115459017297,geneInfo_gene_27113,jax_gene_27113,uniprot_Q9BXH1,omnigene_27113
BCL2L1,BCL2L1,es_20200508154420256000,es_20200422172305355164,esl_20200604115459017328,es_20200604115459017328,geneInfo_gene_598,jax_gene_598,uniprot_Q07817,omnigene_598
BCL6,BCL6,es_20200512100534150000,es_20200422172311839465,esl_20200604115459017355,es_20200604115459017355,geneInfo_gene_604,jax_gene_604,uniprot_P41182,omnigene_604
BCL10,BCL10,es_20200511155441454000,es_20200422172259963549,esl_20200604115459017381,es_20200604115459017381,geneInfo_gene_8915,jax_gene_8915,uniprot_O95999,omnigene_8915
BCL2L11,BCL2L11,es_2020051116154882000,es_20200422172308001170,esl_20200604115459017408,es_20200604115459017408,geneInfo_gene_10018,jax_gene_10018,uniprot_O43521,omnigene_10018
BCL2,BCL2,es_2020051116111842000,es_20200422172302748967,esl_20200604115459017434,es_20200604115459017434,geneInfo_gene_596,jax_gene_596,uniprot_P10415,omnigene_596
BCL2L2,BCL2L2,es_20200512094111246000,es_20200422172309847337,esl_20200604115459017489,es_20200604115459017489,geneInfo_gene_599,jax_gene_599,uniprot_Q92843,omnigene_599
BIRC3,BIRC3,es_20200507092142756000,es_20200422172327988694,esl_20200604115459017521,es_20200604115459017521,geneInfo_gene_330,jax_gene_330,uniprot_Q13489,omnigene_330
BCOR,BCOR,es_2020051210311628000,es_20200422172315556738,esl_20200604115459017548,es_20200604115459017548,geneInfo_gene_54880,jax_gene_54880,uniprot_Q6W2J9,omnigene_54880
BCORL1,BCORL1,es_20200512104405940000,es_20200422172318539770,esl_20200604115459017575,es_20200604115459017575,geneInfo_gene_63035,jax_gene_63035,uniprot_Q5H9F3,omnigene_63035
BRCA2,BRCA2,es_20200430103953846000,es_20200422172355530572,esl_20200604115459017603,es_20200604115459017603,geneInfo_gene_675,jax_gene_675,uniprot_P51587,omnigene_675
BCR,BCR,es_20200512141644904000,es_20200422172322946383,esl_20200604115459017629,es_20200604115459017629,geneInfo_gene_613,jax_gene_613,uniprot_P11274,omnigene_613
BTG1,BTG1,es_20200512153747926000,es_20200422172407033672,esl_20200604115459017656,es_20200604115459017656,geneInfo_gene_694,jax_gene_694,uniprot_P62324,omnigene_694
BMPR1A,BMPR1A,es_20200512144813911000,es_20200422172343346040,esl_20200604115459017940,es_20200604115459017940,geneInfo_gene_657,jax_gene_657,uniprot_P36894,omnigene_657
BRIP1,BRIP1,es_20200512153019666000,es_20200422172405042535,esl_20200604115459018004,es_20200604115459018004,geneInfo_gene_83990,jax_gene_83990,uniprot_Q9BX63,omnigene_83990
BRCA1,BRCA1,es_20200501102050553000,es_20200422172351689816,esl_20200604115459018047,es_20200604115459018047,geneInfo_gene_672,jax_gene_672,uniprot_P38398,omnigene_672
BLM,BLM,es_20200512142516222000,es_20200422172340348536,esl_20200604115459018086,es_20200604115459018086,geneInfo_gene_641,jax_gene_641,uniprot_P54132,omnigene_641
BRAF,BRAF,es_20200501113744778000,es_20200422172347022013,esl_20200604115459018125,es_20200604115459018125,geneInfo_gene_673,jax_gene_673,uniprot_P15056,omnigene_673
BTK,BTK,es_20200508141754183000,es_20200422172409753387,esl_20200604115459018164,es_20200604115459018164,geneInfo_gene_695,jax_gene_695,uniprot_Q06187,omnigene_695
BRD4,BRD4,es_20200512151217756000,es_20200422172401850155,esl_20200604115459018202,es_20200604115459018202,geneInfo_gene_23476,jax_gene_23476,uniprot_O60885,omnigene_23476
CALR,CALR,es_20200513093548907000,es_20200422172422753258,esl_20200604115459018240,es_20200604115459018240,geneInfo_gene_811,jax_gene_811,uniprot_P27797,omnigene_811
CCND2,CCND2,es_20200513105950577000,es_20200422172439423943,esl_20200604115459018279,es_20200604115459018279,geneInfo_gene_894,jax_gene_894,uniprot_P30279,omnigene_894
BTLA,BTLA,es_20200423071751127265,es_20200422172413237315,esl_20200604115459018317,es_20200604115459018317,geneInfo_gene_151888,,uniprot_Q7Z6A9,omnigene_151888
VSIR,C10orf54,es_20200512100329156000,es_20200422172416087225,esl_20200604115459018354,es_20200604115459018354,geneInfo_gene_64115,,uniprot_Q9H7M9,omnigene_64115
EMSY,C11orf30,es_20200424104103163000,es_20200422172419695748,esl_20200604115459018396,es_20200604115459018396,geneInfo_gene_56946,jax_gene_56946,uniprot_Q7Z589,omnigene_56946
CARD11,CARD11,es_2020051310021997000,es_20200422172425372430,esl_20200604115459018436,es_20200604115459018436,geneInfo_gene_84433,jax_gene_84433,uniprot_Q9BXL7,omnigene_84433
CBL,CBL,es_20200507140612176000,es_20200422172432220715,esl_20200604115459018478,es_20200604115459018478,geneInfo_gene_867,jax_gene_867,uniprot_P22681,omnigene_867
CASP8,CASP8,es_20200513102040485000,es_20200422172428451211,esl_20200604115459018516,es_20200604115459018516,geneInfo_gene_841,jax_gene_841,uniprot_Q14790,omnigene_841
CD163,CD163,es_20200423071756639893,es_20200422172449280289,esl_20200604115459018554,es_20200604115459018554,geneInfo_gene_9332,,uniprot_Q86VB7,omnigene_9332
CBFB,CBFB,es_20200513103622665000,es_20200422172430070762,esl_20200604115459018591,es_20200604115459018591,geneInfo_gene_865,jax_gene_865,uniprot_Q13951,omnigene_865
CCND3,CCND3,es_20200513110124574000,es_20200422172441583097,esl_20200604115459018629,es_20200604115459018629,geneInfo_gene_896,jax_gene_896,uniprot_P30281,omnigene_896
CCL2,CCL2,es_20200423071753942810,es_20200422172435653189,esl_20200604115459018667,es_20200604115459018667,geneInfo_gene_6347,,uniprot_P13500,omnigene_6347
CCND1,CCND1,es_20200504161255829000,es_20200422172437864853,esl_20200604115459018704,es_20200604115459018704,geneInfo_gene_595,jax_gene_595,uniprot_P24385,omnigene_595
CD2,CD2,es_20200423071756745334,es_20200422172450884143,esl_20200604115459018742,es_20200604115459018742,geneInfo_gene_914,,uniprot_P06729,omnigene_914
CCNE1,CCNE1,es_20200505145622782000,es_20200422172443224819,esl_20200604115459018779,es_20200604115459018779,geneInfo_gene_898,jax_gene_898,uniprot_P24864,omnigene_898
CD276,CD276,es_20200513111631427000,es_20200422172504808570,esl_20200604115459018817,es_20200604115459018817,geneInfo_gene_80381,jax_gene_80381,uniprot_Q5ZPR3,omnigene_80381
CCR2,CCR2,es_20200423071755311596,es_20200422172446200881,esl_20200604115459018861,es_20200604115459018861,geneInfo_gene_729230,jax_gene_729230,uniprot_P41597,omnigene_729230
CD27,CD27,es_20200423071759608154,es_20200422172457014155,esl_20200604115459018910,es_20200604115459018910,geneInfo_gene_939,jax_gene_939,uniprot_P26842,omnigene_939
CD244,CD244,es_20200423071757262334,es_20200422172454847912,esl_20200604115459018940,es_20200604115459018940,geneInfo_gene_51744,,uniprot_Q9BZW8,omnigene_51744
CD38,CD38,es_20200423071806954768,es_20200422172518035623,esl_20200604115459018969,es_20200604115459018969,geneInfo_gene_952,jax_gene_952,uniprot_P28907,omnigene_952
CD80,CD80,es_20200423071813598344,es_20200422172549529761,esl_20200604115459018999,es_20200604115459018999,geneInfo_gene_941,,uniprot_P33681,omnigene_941
CD274,CD274,es_20200423071801022934,es_20200422172501035147,esl_20200604115459019028,es_20200604115459019028,geneInfo_gene_29126,jax_gene_29126,uniprot_Q9NZQ7,omnigene_29126
CD28,CD28,es_20200423071802441452,es_20200422172508095938,esl_20200604115459019059,es_20200604115459019059,geneInfo_gene_940,jax_gene_940,uniprot_P10747,omnigene_940
CD40,CD40,es_20200423071809305189,es_20200422172523262538,esl_20200604115459019090,es_20200604115459019090,geneInfo_gene_958,jax_gene_958,uniprot_P25942,omnigene_958
CD3D,CD3D,es_20200423071804924824,es_20200422172509938321,esl_20200604115459019120,es_20200604115459019120,geneInfo_gene_915,,uniprot_P04234,omnigene_915
CD3E,CD3E,es_20200423071804325764,es_20200422172513262349,esl_20200604115459019148,es_20200604115459019148,geneInfo_gene_916,,uniprot_P07766,omnigene_916
CD3G,CD3G,es_20200423071806391353,es_20200422172515620117,esl_20200604115459019177,es_20200604115459019177,geneInfo_gene_917,,uniprot_P09693,omnigene_917
CD40LG,CD40LG,es_20200423071810687838,es_20200422172525885539,esl_20200604115459019207,es_20200604115459019207,geneInfo_gene_959,,uniprot_P29965,omnigene_959
CD74,CD74,es_20200513142815294000,es_20200422172540013565,esl_20200604115459019237,es_20200604115459019237,geneInfo_gene_972,jax_gene_972,uniprot_P04233,omnigene_972
CD4,CD4,es_20200423071808341442,es_20200422172520373361,esl_20200604115459019267,es_20200604115459019267,geneInfo_gene_920,jax_gene_920,uniprot_P01730,omnigene_920
CD79A,CD79A,es_20200513143804358000,es_20200422172542270522,esl_20200604115459019298,es_20200604115459019298,geneInfo_gene_973,jax_gene_973,uniprot_P11912,omnigene_973
CD8B,CD8B,es_20200513153645789000,es_20200422172555342348,esl_20200604115459019328,es_20200604115459019328,geneInfo_gene_926,jax_gene_926,uniprot_P10966,omnigene_926
CD44,CD44,es_20200507111245398000,es_20200422172534530036,esl_20200604115459019359,es_20200604115459019359,geneInfo_gene_960,jax_gene_960,uniprot_P16070,omnigene_960
CD8A,CD8A,es_20200513153507329000,es_20200422172553594681,esl_20200604115459019389,es_20200604115459019389,geneInfo_gene_925,jax_gene_925,uniprot_P01732,omnigene_925
CD68,CD68,es_20200423071811694284,es_20200422172538081305,esl_20200604115459019419,es_20200604115459019419,geneInfo_gene_968,,uniprot_P34810,omnigene_968
CD8A,CD8A,es_20200513153507329000,es_20200422172553594681,esl_20200604115459019448,es_20200604115459019448,geneInfo_gene_925,jax_gene_925,uniprot_P01732,omnigene_925
CD86,CD86,es_20200423071813711734,es_20200422172551249507,esl_20200604115459019533,es_20200604115459019533,geneInfo_gene_942,,uniprot_P42081,omnigene_942
CHD2,CHD2,es_20200514144608593000,es_20200422172643215128,esl_20200604115459019568,es_20200604115459019568,geneInfo_gene_1106,jax_gene_1106,uniprot_O14647,omnigene_1106
CDH1,CDH1,es_20200513152424128000,es_20200422172603333153,esl_20200604115459019599,es_20200604115459019599,geneInfo_gene_999,jax_gene_999,uniprot_P12830,omnigene_999
CD8B,CD8B,es_20200513153645789000,es_20200422172555342348,esl_20200604115459019630,es_20200604115459019630,geneInfo_gene_926,jax_gene_926,uniprot_P10966,omnigene_926
CDK4,CDK4,es_20200505130444264000,es_20200422172608878850,esl_20200604115459019659,es_20200604115459019659,geneInfo_gene_1019,jax_gene_1019,uniprot_P11802,omnigene_1019
CDKN2A,CDKN2A,es_20200430101817983000,es_20200422172624107686,esl_20200604115459019690,es_20200604115459019690,geneInfo_gene_1029,jax_gene_1029,uniprot_P42771,omnigene_1029
CDC73,CDC73,es_20200513152158895000,es_20200422172557609198,esl_20200604115459019721,es_20200604115459019721,geneInfo_gene_79577,jax_gene_79577,uniprot_Q6P1J9,omnigene_79577
CDK8,CDK8,es_20200513163359375000,es_20200422172613865554,esl_20200604115459019752,es_20200604115459019752,geneInfo_gene_1024,jax_gene_1024,uniprot_P49336,omnigene_1024
CDK12,CDK12,es_20200513155729905000,es_20200422172605398385,esl_20200604115459019782,es_20200604115459019782,geneInfo_gene_51755,jax_gene_51755,uniprot_Q9NYV4,omnigene_51755
CDK6,CDK6,es_20200508111122666000,es_20200422172611719241,esl_20200604115459019812,es_20200604115459019812,geneInfo_gene_1021,jax_gene_1021,uniprot_Q00534,omnigene_1021
CDKN2B,CDKN2B,es_20200514113822380000,es_20200422172625828448,esl_20200604115459019842,es_20200604115459019842,geneInfo_gene_1030,jax_gene_1030,uniprot_P42772,omnigene_1030
FGFR2,FGFR2,es_20200424104336387000,es_20200422173145408927,esl_20200604115459019873,es_20200604115459019873,geneInfo_gene_2263,jax_gene_2263,uniprot_P21802,omnigene_2263
CDKN1A,CDKN1A,es_20200514111157735000,es_20200422172618237584,esl_20200604115459019903,es_20200604115459019903,geneInfo_gene_1026,jax_gene_1026,uniprot_P38936,omnigene_1026
CDKN1B,CDKN1B,es_20200514112316957000,es_20200422172620992235,esl_20200604115459019934,es_20200604115459019934,geneInfo_gene_1027,jax_gene_1027,uniprot_P46527,omnigene_1027
CSF3R,CSF3R,es_20200515100005234000,es_20200422172712612340,esl_20200604115459019965,es_20200604115459019965,geneInfo_gene_1441,jax_gene_1441,uniprot_Q99062,omnigene_1441
CEBPA,CEBPA,es_20200514140849344000,es_20200422172631300896,esl_20200604115459020100,es_20200604115459020100,geneInfo_gene_1050,jax_gene_1050,uniprot_P49715,omnigene_1050
CDKN2C,CDKN2C,es_2020051413443151000,es_20200422172628794265,esl_20200604115459020139,es_20200604115459020139,geneInfo_gene_1031,jax_gene_1031,uniprot_P42773,omnigene_1031
CHD4,CHD4,es_20200514153033423000,es_20200422172645582728,esl_20200604115459020178,es_20200604115459020178,geneInfo_gene_1108,jax_gene_1108,uniprot_Q14839,omnigene_1108
CENPA,CENPA,es_20200514142618712000,es_20200422172640336192,esl_20200604115459020211,es_20200604115459020211,geneInfo_gene_1058,jax_gene_1058,uniprot_P49450,omnigene_1058
CIC,CIC,es_20200514160801347000,es_20200422172653219292,esl_20200604115459020242,es_20200604115459020242,geneInfo_gene_23152,jax_gene_23152,uniprot_Q96RK0,omnigene_23152
CRLF2,CRLF2,es_20200515092109205000,es_20200422172706147071,esl_20200604115459020274,es_20200604115459020274,geneInfo_gene_64109,jax_gene_64109,uniprot_Q9HC73,omnigene_64109
CHEK1,CHEK1,es_20200514153849793000,es_20200422172648196636,esl_20200604115459020306,es_20200604115459020306,geneInfo_gene_1111,jax_gene_1111,uniprot_O14757,omnigene_1111
CHEK2,CHEK2,es_20200507090829455000,es_20200422172651316650,esl_20200604115459020337,es_20200604115459020337,geneInfo_gene_11200,jax_gene_11200,uniprot_O96017,omnigene_11200
CREBBP,CREBBP,es_20200514161909708000,es_20200422172701130956,esl_20200604115459020369,es_20200604115459020369,geneInfo_gene_1387,jax_gene_1387,uniprot_Q92793,omnigene_1387
CSF1R,CSF1R,es_20200423071815372579,es_20200422172710118028,esl_20200604115459020400,es_20200604115459020400,geneInfo_gene_1436,jax_gene_1436,uniprot_P07333,omnigene_1436
CSNK1A1,CSNK1A1,es_20200511103503318000,es_20200422172715853911,esl_20200604115459020431,es_20200604115459020431,geneInfo_gene_1452,jax_gene_1452,uniprot_P48729,omnigene_1452
CSNK2A1,CSNK2A1,es_20200422172723908264,es_20200422172723908295,esl_20200604115459020462,es_20200604115459020462,geneInfo_gene_1457,,uniprot_P68400,omnigene_1457
CTCF,CTCF,es_20200515102506922000,es_20200422172729029269,esl_20200604115459020492,es_20200604115459020492,geneInfo_gene_10664,jax_gene_10664,uniprot_P49711,omnigene_10664
CUX1,CUX1,es_20200515113653589000,es_20200422172805076361,esl_20200604115459020523,es_20200604115459020523,geneInfo_gene_1523,jax_gene_1523,uniprot_P39880,omnigene_1523
CTLA4,CTLA4,es_20200423071818753124,es_20200422172731290033,esl_20200604115459020553,es_20200604115459020553,geneInfo_gene_1493,jax_gene_1493,uniprot_P16410,omnigene_1493
CTNNA1,CTNNA1,es_20200515105343194000,es_20200422172734436934,esl_20200604115459020584,es_20200604115459020584,geneInfo_gene_1495,jax_gene_1495,uniprot_P35221,omnigene_1495
CTNNB1,CTNNB1,es_20200504165044267000,es_20200422172743598318,esl_20200604115459020615,es_20200604115459020615,geneInfo_gene_1499,jax_gene_1499,uniprot_P35222,omnigene_1499
DAXX,DAXX,es_20200515125329210000,es_20200422172829815776,esl_20200604115459020646,es_20200604115459020646,geneInfo_gene_1616,jax_gene_1616,uniprot_Q9UER7,omnigene_1616
CUL3,CUL3,es_20200515110945179000,es_20200422172800408736,esl_20200604115459020676,es_20200604115459020676,geneInfo_gene_8452,jax_gene_8452,uniprot_Q13618,omnigene_8452
DIS3,DIS3,es_2020051516121616000,es_20200422172848021250,esl_20200604115459020707,es_20200604115459020707,geneInfo_gene_22894,jax_gene_22894,uniprot_Q9Y2L1,omnigene_22894
CXCL10,CXCL10,es_20200423071820921272,es_20200422172808962276,esl_20200604115459020737,es_20200604115459020737,geneInfo_gene_3627,,uniprot_P02778,omnigene_3627
DDX41,DDX41,es_20200515133403963000,es_20200422172838831476,esl_20200604115459020767,es_20200604115459020767,geneInfo_gene_51428,jax_gene_51428,uniprot_Q9UJV9,omnigene_51428
CXCR4,CXCR4,es_2020051511540397000,es_20200422172814627255,esl_20200604115459020802,es_20200604115459020802,geneInfo_gene_7852,jax_gene_7852,uniprot_P61073,omnigene_7852
CXCR6,CXCR6,es_20200423071822374793,es_20200422172816457786,esl_20200604115459020836,es_20200604115459020836,geneInfo_gene_10663,,uniprot_O00574,omnigene_10663
CYLD,CYLD,es_20200515120336617000,es_20200422172824478082,esl_20200604115459020879,es_20200604115459020879,geneInfo_gene_1540,jax_gene_1540,uniprot_Q9NQC7,omnigene_1540
DICER1,DICER1,es_20200515141413715000,es_20200422172846458140,esl_20200604115459020906,es_20200604115459020906,geneInfo_gene_23405,jax_gene_23405,uniprot_Q9UPY3,omnigene_23405
DCUN1D1,DCUN1D1,es_20200515130250634000,es_20200422172832863909,esl_20200604115459020934,es_20200604115459020934,geneInfo_gene_54165,jax_gene_54165,uniprot_Q96GG9,omnigene_54165
DDR2,DDR2,es_20200505091609514000,es_20200422172836294021,esl_20200604115459020963,es_20200604115459020963,geneInfo_gene_4921,jax_gene_4921,uniprot_Q16832,omnigene_4921
DNAJB1,DNAJB1,es_20200518094407101000,es_20200422172850190868,esl_20200604115459020990,es_20200604115459020990,geneInfo_gene_3337,jax_gene_3337,uniprot_P25685,omnigene_3337
DHX15,DHX15,es_20200515135936893000,es_20200422172843999292,esl_20200604115459021017,es_20200604115459021017,geneInfo_gene_1665,jax_gene_1665,uniprot_O43143,omnigene_1665
DNMT1,DNMT1,es_20200518095900239000,es_20200422172852977804,esl_20200604115459021043,es_20200604115459021043,geneInfo_gene_1786,jax_gene_1786,uniprot_P26358,omnigene_1786
DDX58,DDX58,es_20200423071822907863,es_20200422172842178675,esl_20200604115459021071,es_20200604115459021071,geneInfo_gene_23586,,uniprot_O95786,omnigene_23586
EGFL7,EGFL7,es_20200518104813204000,es_20200422172906289964,esl_20200604115459021098,es_20200604115459021098,geneInfo_gene_51162,jax_gene_51162,uniprot_Q9UHF1,omnigene_51162
EIF4E,EIF4E,es_20200518112652503000,es_20200422172923005857,esl_20200604115459021125,es_20200604115459021125,geneInfo_gene_1977,jax_gene_1977,uniprot_P06730,omnigene_1977
ENTPD1,ENTPD1,es_20200423071823444878,es_20200422172927054319,esl_20200604115459021190,es_20200604115459021190,geneInfo_gene_953,jax_gene_953,uniprot_P49961,omnigene_953
DNMT3A,DNMT3A,es_2020050611365735000,es_20200422172855052712,esl_20200604115459021222,es_20200604115459021222,geneInfo_gene_1788,jax_gene_1788,uniprot_Q9Y6K1,omnigene_1788
E2F3,E2F3,es_20200518101928237000,es_20200422172902082632,esl_20200604115459021250,es_20200604115459021250,geneInfo_gene_1871,jax_gene_1871,uniprot_O00716,omnigene_1871
EPHA7,EPHA7,es_20200518164451200000,es_20200422172946986931,esl_20200604115459021277,es_20200604115459021277,geneInfo_gene_2045,jax_gene_2045,uniprot_Q15375,omnigene_2045
DNMT3B,DNMT3B,es_20200518100904455000,es_20200422172857988068,esl_20200604115459021304,es_20200604115459021304,geneInfo_gene_1789,jax_gene_1789,uniprot_Q9UBC3,omnigene_1789
DOT1L,DOT1L,es_20200518101353404000,es_20200422172900509580,esl_20200604115459021331,es_20200604115459021331,geneInfo_gene_84444,jax_gene_84444,uniprot_Q8TEK3,omnigene_84444
EIF4A2,EIF4A2,es_20200518111154195000,es_20200422172920136898,esl_20200604115459021357,es_20200604115459021357,geneInfo_gene_1974,jax_gene_1974,uniprot_Q14240,omnigene_1974
EED,EED,es_20200518104329424000,es_20200422172903946552,esl_20200604115459021385,es_20200604115459021385,geneInfo_gene_8726,jax_gene_8726,uniprot_O75530,omnigene_8726
EIF1AX,EIF1AX,es_20200518105800453000,es_20200422172917499035,esl_20200604115459021411,es_20200604115459021411,geneInfo_gene_1964,jax_gene_1964,uniprot_P47813,omnigene_1964
EGFR,EGFR,es_20200430151852729000,es_20200422172914591232,esl_20200604115459021438,es_20200604115459021438,geneInfo_gene_1956,jax_gene_1956,uniprot_P00533,omnigene_1956
EPCAM,EPCAM,es_20200518155822748000,es_20200422172941188854,esl_20200604115459021466,es_20200604115459021466,geneInfo_gene_4072,jax_gene_4072,uniprot_P16422,omnigene_4072
EML4,EML4,es_20200518113917859000,es_20200422172924625221,esl_20200604115459021493,es_20200604115459021493,geneInfo_gene_27436,jax_gene_27436,uniprot_Q9HC35,omnigene_27436
EPHA5,EPHA5,es_20200518162536901000,es_20200422172944673328,esl_20200604115459021519,es_20200604115459021519,geneInfo_gene_2044,jax_gene_2044,uniprot_P54756,omnigene_2044
EP300,EP300,es_20200518115731937000,es_20200422172937605662,esl_20200604115459021546,es_20200604115459021546,geneInfo_gene_2033,jax_gene_2033,uniprot_Q09472,omnigene_2033
EPHA3,EPHA3,es_20200518161101262000,es_20200422172943136086,esl_20200604115459021572,es_20200604115459021572,geneInfo_gene_2042,jax_gene_2042,uniprot_P29320,omnigene_2042
ERCC1,ERCC1,es_20200519102013963000,es_20200422173000706329,esl_20200604115459021599,es_20200604115459021599,geneInfo_gene_2067,jax_gene_2067,uniprot_P07992,omnigene_2067
ESR1,ESR1,es_20200505140034828000,es_20200422173016760912,esl_20200604115459021625,es_20200604115459021625,geneInfo_gene_2099,jax_gene_2099,uniprot_P03372,omnigene_2099
EPHB1,EPHB1,es_20200518164921158000,es_20200422172949118703,esl_20200604115459021652,es_20200604115459021652,geneInfo_gene_2047,jax_gene_2047,uniprot_P54762,omnigene_2047
ERCC2,ERCC2,es_20200519103001962000,es_20200422173003373946,esl_20200604115459021679,es_20200604115459021679,geneInfo_gene_2068,jax_gene_2068,uniprot_P18074,omnigene_2068
ERBB2,ERBB2,es_20200501145448900000,es_20200422172952131380,esl_20200604115459021706,es_20200604115459021706,geneInfo_gene_2064,jax_gene_2064,uniprot_P04626,omnigene_2064
