name,panelName,geneDescription_graph_id,oncogenicCategory_graph_id,synonyms_graph_id,transcript_graph_id,MyGeneInfoGene_graph_id,JaxGene_graph_id,UniprotEntry_graph_Id,graph_id
SDHC,SDHC,es_20200422174654270601,es_20200422174654270619,esl_20200604115459031164,es_20200604115459031164,geneInfo_gene_6391,jax_gene_6391,uniprot_Q99643,omnigene_6391
SETD2,SETD2,es_20200422174707392164,es_20200422174707392201,esl_20200604115459031191,es_20200604115459031191,geneInfo_gene_29072,jax_gene_29072,uniprot_Q9BYW2,omnigene_29072
SHQ1,SHQ1,es_20200422174720053466,es_20200422174720053484,esl_20200604115459031218,es_20200604115459031218,geneInfo_gene_55164,jax_gene_55164,uniprot_Q6PI26,omnigene_55164
SF3B1,SF3B1,es_20200506133515614000,es_20200422174712787255,esl_20200604115459031244,es_20200604115459031244,geneInfo_gene_23451,jax_gene_23451,uniprot_O75533,omnigene_23451
SLIT2,SLIT2,es_20200422174722526893,es_20200422174722526911,esl_20200604115459031271,es_20200604115459031271,geneInfo_gene_9353,jax_gene_9353,uniprot_O94813,omnigene_9353
SMAD3,SMAD3,es_20200422174731333980,es_20200422174731333998,esl_20200604115459031298,es_20200604115459031298,geneInfo_gene_4088,jax_gene_4088,uniprot_P84022,omnigene_4088
SMARCB1,SMARCB1,es_2020050514472109000,es_20200422174739312852,esl_20200604115459031348,es_20200604115459031348,geneInfo_gene_6598,jax_gene_6598,uniprot_Q12824,omnigene_6598
SH2D1A,SH2D1A,es_20200422174718143262,es_20200422174718143287,esl_20200604115459031376,es_20200604115459031376,geneInfo_gene_4068,jax_gene_4068,uniprot_O60880,omnigene_4068
SMAD2,SMAD2,es_20200422174728628278,es_20200422174728628296,esl_20200604115459031402,es_20200604115459031402,geneInfo_gene_4087,jax_gene_4087,uniprot_Q15796,omnigene_4087
SMC1A,SMC1A,es_20200422174746453384,es_20200422174746453401,esl_20200604115459031429,es_20200604115459031429,geneInfo_gene_8243,jax_gene_8243,uniprot_Q14683,omnigene_8243
SOX17,SOX17,es_20200422174802264683,es_20200422174802264700,esl_20200604115459031465,es_20200604115459031465,geneInfo_gene_64321,jax_gene_64321,uniprot_Q9H6I2,omnigene_64321
SLX4,SLX4,es_20200422174725558367,es_20200422174725558385,esl_20200604115459031494,es_20200604115459031494,geneInfo_gene_84464,jax_gene_84464,uniprot_Q8IY92,omnigene_84464
SMAD4,SMAD4,es_20200430132841230000,es_20200422174734021246,esl_20200604115459031521,es_20200604115459031521,geneInfo_gene_4089,jax_gene_4089,uniprot_Q13485,omnigene_4089
SMARCD1,SMARCD1,es_20200422174743632834,es_20200422174743632860,esl_20200604115459031547,es_20200604115459031547,geneInfo_gene_6602,jax_gene_6602,uniprot_Q96GM5,omnigene_6602
SOX2,SOX2,es_20200506151149168000,es_20200422174804486864,esl_20200604115459031574,es_20200604115459031574,geneInfo_gene_6657,jax_gene_6657,uniprot_P48431,omnigene_6657
SMO,SMO,es_20200506102519362000,es_20200422174751881736,esl_20200604115459031600,es_20200604115459031600,geneInfo_gene_6608,jax_gene_6608,uniprot_Q99835,omnigene_6608
SRSF2,SRSF2,es_20200422174825384608,es_20200422174825384625,esl_20200604115459031627,es_20200604115459031627,geneInfo_gene_6427,jax_gene_6427,uniprot_Q01130,omnigene_6427
STAG1,STAG1,es_20200422174826952742,es_20200422174826952760,esl_20200604115459031653,es_20200604115459031653,geneInfo_gene_10274,jax_gene_10274,uniprot_Q8WVM7,omnigene_10274
SOCS1,SOCS1,es_20200422174756766672,es_20200422174756766690,esl_20200604115459031680,es_20200604115459031680,geneInfo_gene_8651,jax_gene_8651,uniprot_O15524,omnigene_8651
SPEN,SPEN,es_20200422174809887590,es_20200422174809887608,esl_20200604115459031707,es_20200604115459031707,geneInfo_gene_23013,jax_gene_23013,uniprot_Q96T58,omnigene_23013
SPOP,SPOP,es_20200507142605249000,es_20200422174812634061,esl_20200604115459031733,es_20200604115459031733,geneInfo_gene_8405,jax_gene_8405,uniprot_O43791,omnigene_8405
STAG2,STAG2,es_20200422174829982721,es_20200422174829982740,esl_20200604115459031760,es_20200604115459031760,geneInfo_gene_10735,jax_gene_10735,uniprot_Q8N3U4,omnigene_10735
SOX9,SOX9,es_20200422174807494967,es_20200422174807494995,esl_20200604115459031787,es_20200604115459031787,geneInfo_gene_6662,jax_gene_6662,uniprot_P48436,omnigene_6662
SPTA1,SPTA1,es_20200422174815095930,es_20200422174815095948,esl_20200604115459031813,es_20200604115459031813,geneInfo_gene_6708,jax_gene_6708,uniprot_P02549,omnigene_6708
SRC,SRC,es_20200508135944818000,es_20200422174822128012,esl_20200604115459031840,es_20200604115459031840,geneInfo_gene_6714,jax_gene_6714,uniprot_P12931,omnigene_6714
STAT1,STAT1,es_20200423071851799449,es_20200422174833968059,esl_20200604115459031867,es_20200604115459031867,geneInfo_gene_6772,jax_gene_6772,uniprot_P42224,omnigene_6772
STAT5B,STAT5B,es_20200422174850530366,es_20200422174850530383,esl_20200604115459031894,es_20200604115459031894,geneInfo_gene_6777,jax_gene_6777,uniprot_P51692,omnigene_6777
STAT3,STAT3,es_20200511110717928000,es_20200422174842732593,esl_20200604115459031935,es_20200604115459031935,geneInfo_gene_6774,jax_gene_6774,uniprot_P40763,omnigene_6774
STK40,STK40,es_20200422174855260820,es_20200422174855260837,esl_20200604115459031965,es_20200604115459031965,geneInfo_gene_83931,jax_gene_83931,uniprot_Q8N2I9,omnigene_83931
SUZ12,SUZ12,es_20200422174906024452,es_20200422174906024470,esl_20200604115459031992,es_20200604115459031992,geneInfo_gene_23512,jax_gene_23512,uniprot_Q15022,omnigene_23512
STAT4,STAT4,es_20200422174845439697,es_20200422174845439715,esl_20200604115459032019,es_20200604115459032019,geneInfo_gene_6775,jax_gene_6775,uniprot_Q14765,omnigene_6775
STAT5A,STAT5A,es_20200422174848555487,es_20200422174848555505,esl_20200604115459032046,es_20200604115459032046,geneInfo_gene_6776,jax_gene_6776,uniprot_P42229,omnigene_6776
TCF3,TCF3,es_20200422174925149750,es_20200422174925149767,esl_20200604115459032073,es_20200604115459032073,geneInfo_gene_6929,jax_gene_6929,uniprot_P15923,omnigene_6929
STK11,STK11,es_20200501111548764000,es_20200422174853589899,esl_20200604115459032100,es_20200604115459032100,geneInfo_gene_6794,jax_gene_6794,uniprot_Q15831,omnigene_6794
SUFU,SUFU,es_20200422174902267317,es_20200422174902267344,esl_20200604115459032126,es_20200604115459032126,geneInfo_gene_51684,jax_gene_51684,uniprot_Q9UMX1,omnigene_51684
TERC,TERC,es_20200422174929434711,es_20200422174929434730,esl_20200604115459032153,es_20200604115459032153,geneInfo_gene_7012,jax_gene_7012,,omnigene_7012
SYK,SYK,es_20200422174909985100,es_20200422174909985128,esl_20200604115459032179,es_20200604115459032179,geneInfo_gene_6850,jax_gene_6850,uniprot_P43405,omnigene_6850
TCF7L2,TCF7L2,es_20200422174928633540,es_20200422174928633558,esl_20200604115459032206,es_20200604115459032206,geneInfo_gene_6934,jax_gene_6934,uniprot_Q9NQB0,omnigene_6934
TAF1,TAF1,es_20200422174914911507,es_20200422174914911534,esl_20200604115459032243,es_20200604115459032243,geneInfo_gene_6872,jax_gene_6872,uniprot_P21675,omnigene_6872
TBX21,TBX21,es_20200423071852759724,es_20200422174918700183,esl_20200604115459032273,es_20200604115459032273,geneInfo_gene_30009,,uniprot_Q9UL17,omnigene_30009
TBX3,TBX3,es_20200422174921416200,es_20200422174921416218,esl_20200604115459032298,es_20200604115459032298,geneInfo_gene_6926,jax_gene_6926,uniprot_O15119,omnigene_6926
TET2,TET2,es_20200430161143592000,es_20200422174938984539,esl_20200604115459032325,es_20200604115459032325,geneInfo_gene_54790,jax_gene_54790,uniprot_Q6N021,omnigene_54790
ELOC,TCEB1,es_20200427111842370000,es_20200422174923077889,esl_20200604115459032352,es_20200604115459032352,geneInfo_gene_6921,jax_gene_6921,uniprot_Q15369,omnigene_6921
TERT,TERT,es_20200507152157613000,es_20200422174932629084,esl_20200604115459032379,es_20200604115459032379,geneInfo_gene_7015,jax_gene_7015,uniprot_O14746,omnigene_7015
TET1,TET1,es_20200422174935712331,es_20200422174935712357,esl_20200604115459032405,es_20200604115459032405,geneInfo_gene_80312,jax_gene_80312,uniprot_Q8NFU7,omnigene_80312
TFE3,TFE3,es_20200422174941964064,es_20200422174941964091,esl_20200604115459032432,es_20200604115459032432,geneInfo_gene_7030,jax_gene_7030,uniprot_P19532,omnigene_7030
TFRC,TFRC,es_20200422174944522587,es_20200422174944522612,esl_20200604115459032458,es_20200604115459032458,geneInfo_gene_7037,jax_gene_7037,uniprot_P02786,omnigene_7037
TIAF1,TIAF1,es_20200422174954328583,es_20200422174954328600,esl_20200604115459032484,es_20200604115459032484,geneInfo_gene_9220,,uniprot_O95411,omnigene_9220
TGFB1,TGFB1,es_20200423071853291239,es_20200422174947462782,esl_20200604115459032510,es_20200604115459032510,geneInfo_gene_7040,jax_gene_7040,uniprot_P01137,omnigene_7040
