id,Author_graph_id,LiteratureReference_graph_id
,author_cook_rw,ref_15451562
,author_woodruff_tk,ref_15451562
,author_jardetzky_ts,ref_15451562
,author_khushalani_ni,ref_24737949
,author_jarkowski_a,ref_24737949
,author_rajkumar_s,ref_29540830
,author_rose_aan,ref_29540830
,author_dankner_m,ref_29540830
,author_watson_ir,ref_29540830
,author_siegel_pm,ref_29540830
,author_pan_jh,ref_30122982
,author_ding_h,ref_30122982
,author_pan_yl,ref_30122982
,author_zhao_xx,ref_30122982
,author_huang_jl,ref_30122982
,author_zhou_h,ref_30122982
,author_zhu_sb,ref_30122982
,author_conti_a,ref_29729495
,author_planchard_d,ref_29729495
,author_friboulet_l,ref_29729495
,author_minari_r,ref_29729495
,author_rossi_g,ref_29729495
,author_facchinetti_f,ref_29729495
,author_tiseo_m,ref_29729495
,author_leonetti_a,ref_29729495
,author_watson_j,ref_30405705
,author_francavilla_c,ref_30405705
,author_tucker_pw,ref_16819554
,author_nardone_j,ref_16819554
,author_rao_a,ref_16819554
,author_maika_s,ref_16819554
,author_borde_m,ref_16819554
,author_allred_l,ref_16819554
,author_wang_b,ref_16819554
,author_hu_h,ref_16819554
,author_ivashkiv_lb,ref_29921905
,author_diebold_ss,ref_14976261
,author_reis_e,ref_14976261
,author_kaisho_t,ref_14976261
,author_hemmi_h,ref_14976261
,author_akira_s,ref_14976261
,author_rehwinkel_j,ref_31608988
,author_davenne_t,ref_31608988
,author_rigby_re,ref_31608988
,author_bridgeman_a,ref_31608988
,author_zhu_q,ref_31072916
,author_zhang_c,ref_31072916
,author_li_q,ref_31072916
,author_ying_l,ref_31072916
,author_chen_s,ref_31072916
,author_gu_j,ref_31072916
,author_cheng_c,ref_23393140
,author_he_s,ref_23393140
,author_wang_y,ref_23393140
,author_xu_g,ref_23393140
,author_wang_h,ref_23393140
,author_huang_x,ref_23393140
,author_liu_f,ref_23393140
,author_mao_f,ref_23393140
,author_hang_q,ref_23393140
,author_shen_a,ref_23393140
,author_zhang_t,ref_23393140
,author_guan_c,ref_25820824
,author_tian_y,ref_25820824
,author_yang_l,ref_25820824
,author_ji_l,ref_25820824
,author_zhang_j,ref_25820824
,author_ni_r,ref_25820824
,author_wang_y,ref_25820824
,author_zhu_j,ref_25820824
,author_liu_b,ref_30532073
,author_wang_z,ref_30532073
,author_gu_w,ref_30532073
,author_liu_l,ref_30532073
,author_zhang_z,ref_30532073
,author_zhu_wg,ref_30532073
,author_zou_j,ref_30532073
,author_yang_x,ref_30532073
,author_qi_h,ref_30532073
,author_lou_x,ref_30532073
,author_luo_j,ref_30532073
,author_yi_j,ref_30532073
,author_legeai_mallet_l,ref_27987249
,author_ornitz_dm,ref_27987249
,author_yuan_j,ref_31311187
,author_louwen_f,ref_31311187
,author_ritter_a,ref_31311187
,author_rolle_u,ref_31311187
,author_kreis_nn,ref_31311187
,author_roth_s,ref_31311187
,author_friemel_a,ref_31311187
,author_perner_f,ref_31398915
,author_perner_c,ref_31398915
,author_heidel_fh,ref_31398915
,author_ernst_t,ref_31398915
,author_yuan_x,ref_31284662
,author_xu_d,ref_31284662
,author_jorcyk_cl,ref_29762508
,author_oxford_jt,ref_29762508
,author_robertson_jc,ref_29762508
,author_moelling_k,ref_18289125
,author_matskevich_aa,ref_18289125
,author_talmon_g,ref_28114282
,author_black_a,ref_28114282
,author_wang_j,ref_28114282
,author_geng_l,ref_28114282
,author_berim_l,ref_28114282
,author_yi_h,ref_28114282
,author_belletti_b,ref_30065701
,author_de_marco,ref_30065701
,author_baldassarre_g,ref_30065701
,author_cusan_m,ref_30065701
,author_mungo_g,ref_30065701
,author_segatto_i,ref_30065701
,author_mccormick_ja,ref_30872636
,author_moeller_mj,ref_30872636
,author_kramann_r,ref_30872636
,author_ferdaus_mz,ref_30872636
,author_kuppe_c,ref_30872636
,author_floege_j,ref_30872636
,author_saritas_t,ref_30872636
,author_cuevas_ca,ref_30872636
,author_singer_jd,ref_30872636
,author_fan_j,ref_18771919
,author_belasco_jg,ref_18771919
,author_wu_l,ref_18771919
,author_kitagawa_n,ref_23398123
,author_shimizu_h,ref_23398123
,author_miyagawa_s,ref_23398123
,author_shirakihara_t,ref_23398123
,author_kokubu_a,ref_23398123
,author_urushidate_t,ref_23398123
,author_totoki_y,ref_23398123
,author_ojima_h,ref_23398123
,author_kosuge_t,ref_23398123
,author_shibata_t,ref_23398123
,author_dong_l,ref_23085373
,author_band_h,ref_23085373
,author_goetz_b,ref_23085373
,author_raja_sm,ref_23085373
,author_band_v,ref_23085373
