field,editDate,editorId,graph_id
synonyms_jax_gene_6754,2020-06-04-11-54-58-935385,user_20200422163431232329,esl_20200604115458935385
synonyms_jax_gene_4293,2020-06-04-11-54-58-935411,user_20200422163431232329,esl_20200604115458935411
synonyms_jax_gene_27161,2020-06-04-11-54-58-935437,user_20200422163431232329,esl_20200604115458935437
synonyms_jax_gene_332,2020-06-04-11-54-58-935465,user_20200422163431232329,esl_20200604115458935465
synonyms_jax_gene_120114,2020-06-04-11-54-58-935490,user_20200422163431232329,esl_20200604115458935490
synonyms_jax_gene_3690,2020-06-04-11-54-58-935516,user_20200422163431232329,esl_20200604115458935516
synonyms_jax_gene_645121,2020-06-04-11-54-58-935615,user_20200422163431232329,esl_20200604115458935615
synonyms_jax_gene_84632,2020-06-04-11-54-58-935642,user_20200422163431232329,esl_20200604115458935642
synonyms_jax_gene_11116,2020-06-04-11-54-58-935669,user_20200422163431232329,esl_20200604115458935669
synonyms_jax_gene_5601,2020-06-04-11-54-58-935694,user_20200422163431232329,esl_20200604115458935694
synonyms_jax_gene_6938,2020-06-04-11-54-58-935729,user_20200422163431232329,esl_20200604115458935729
synonyms_jax_gene_6742,2020-06-04-11-54-58-935760,user_20200422163431232329,esl_20200604115458935760
synonyms_jax_gene_8463,2020-06-04-11-54-58-935786,user_20200422163431232329,esl_20200604115458935786
synonyms_jax_gene_324,2020-06-04-11-54-58-935813,user_20200422163431232329,esl_20200604115458935813
synonyms_jax_gene_4790,2020-06-04-11-54-58-935842,user_20200422163431232329,esl_20200604115458935842
synonyms_jax_gene_1654,2020-06-04-11-54-58-935902,user_20200422163431232329,esl_20200604115458935902
synonyms_jax_gene_7153,2020-06-04-11-54-58-935935,user_20200422163431232329,esl_20200604115458935935
synonyms_jax_gene_4513,2020-06-04-11-54-58-935960,user_20200422163431232329,esl_20200604115458935960
synonyms_jax_gene_7295,2020-06-04-11-54-58-935984,user_20200422163431232329,esl_20200604115458935984
synonyms_jax_gene_2078,2020-06-04-11-54-58-936036,user_20200422163431232329,esl_20200604115458936036
synonyms_jax_gene_23533,2020-06-04-11-54-58-936062,user_20200422163431232329,esl_20200604115458936062
synonyms_jax_gene_1879,2020-06-04-11-54-58-936089,user_20200422163431232329,esl_20200604115458936089
synonyms_jax_gene_23499,2020-06-04-11-54-58-936117,user_20200422163431232329,esl_20200604115458936117
synonyms_jax_gene_7942,2020-06-04-11-54-58-936145,user_20200422163431232329,esl_20200604115458936145
synonyms_jax_gene_1048,2020-06-04-11-54-58-936172,user_20200422163431232329,esl_20200604115458936172
synonyms_jax_gene_2185,2020-06-04-11-54-58-936197,user_20200422163431232329,esl_20200604115458936197
synonyms_jax_gene_5288,2020-06-04-11-54-58-936228,user_20200422163431232329,esl_20200604115458936228
synonyms_jax_gene_53353,2020-06-04-11-54-58-936253,user_20200422163431232329,esl_20200604115458936253
synonyms_jax_gene_56852,2020-06-04-11-54-58-936279,user_20200422163431232329,esl_20200604115458936279
synonyms_jax_gene_23476,2020-06-04-11-54-58-936302,user_20200422163431232329,esl_20200604115458936302
synonyms_jax_gene_54880,2020-06-04-11-54-58-936329,user_20200422163431232329,esl_20200604115458936329
synonyms_jax_gene_187,2020-06-04-11-54-58-936354,user_20200422163431232329,esl_20200604115458936354
synonyms_jax_gene_23114,2020-06-04-11-54-58-936381,user_20200422163431232329,esl_20200604115458936381
synonyms_jax_gene_378938,2020-06-04-11-54-58-936407,user_20200422163431232329,esl_20200604115458936407
synonyms_jax_gene_55004,2020-06-04-11-54-58-936436,user_20200422163431232329,esl_20200604115458936436
synonyms_jax_gene_11198,2020-06-04-11-54-58-936464,user_20200422163431232329,esl_20200604115458936464
synonyms_jax_gene_2263,2020-06-04-11-54-58-936491,user_20200422163431232329,esl_20200604115458936491
synonyms_jax_gene_55680,2020-06-04-11-54-58-936526,user_20200422163431232329,esl_20200604115458936526
synonyms_jax_gene_22894,2020-06-04-11-54-58-936551,user_20200422163431232329,esl_20200604115458936551
synonyms_jax_gene_56940,2020-06-04-11-54-58-936579,user_20200422163431232329,esl_20200604115458936579
synonyms_jax_gene_1789,2020-06-04-11-54-58-936610,user_20200422163431232329,esl_20200604115458936610
