name,panelName,geneDescription_graph_id,oncogenicCategory_graph_id,synonymsString_graph_id,MyGeneInfoGene_graph_id,JaxGene_graph_id,UniprotEntry_graph_Id,graph_id
MET,MET,es_20200501133944648000,es_20200422173902363874,es_20200422173902363890,geneInfo_gene_4233,jax_gene_4233,uniprot_P08581,omnigene_4233
MAP3K13,MAP3K13,es_20200526140806189000,es_20200422173823165902,es_20200422173823165918,geneInfo_gene_9175,jax_gene_9175,uniprot_O43283,omnigene_9175
MAP3K4,MAP3K4,es_20200526142453634000,es_20200422173825176646,es_20200422173825176663,geneInfo_gene_4216,jax_gene_4216,uniprot_Q9Y6R4,omnigene_4216
MED12,MED12,es_2020050715552133000,es_20200422173854548117,es_20200422173854548133,geneInfo_gene_9968,jax_gene_9968,uniprot_Q93074,omnigene_9968
MDC1,MDC1,es_20200526144525438000,es_20200422173839384372,es_20200422173839384388,geneInfo_gene_9656,jax_gene_9656,uniprot_Q14676,omnigene_9656
MITF,MITF,es_20200526155014214000,es_20200422173907194602,es_20200422173907194619,geneInfo_gene_4286,jax_gene_4286,uniprot_O75030,omnigene_4286
MDM2,MDM2,es_20200505104754983000,es_20200422173848488749,es_20200422173848488767,geneInfo_gene_4193,jax_gene_4193,uniprot_Q00987,omnigene_4193
MEN1,MEN1,es_20200526151247492000,es_20200422173858514751,es_20200422173858514767,geneInfo_gene_4221,jax_gene_4221,uniprot_O00255,omnigene_4221
MDM4,MDM4,es_20200508162420509000,es_20200422173852349483,es_20200422173852349499,geneInfo_gene_4194,jax_gene_4194,uniprot_O15151,omnigene_4194
MEF2B,MEF2B,es_20200526145651200000,es_20200422173855967701,es_20200422173855967717,geneInfo_gene_100271849,jax_gene_100271849,uniprot_Q02080,omnigene_100271849
MPL,MPL,es_2020051111175472000,es_20200422173924788271,es_20200422173924788287,geneInfo_gene_4352,jax_gene_4352,uniprot_P40238,omnigene_4352
MYCL,MYCL,es_20200507143656621000,es_20200422174018250907,es_20200422174018250924,geneInfo_gene_4610,jax_gene_4610,uniprot_P12524,omnigene_4610
MLH1,MLH1,es_20200507150244627000,es_20200422173910571665,es_20200422173910571681,geneInfo_gene_4292,jax_gene_4292,uniprot_P40692,omnigene_4292
MGA,MGA,es_20200526153016574000,es_20200422173904813862,es_20200422173904813878,geneInfo_gene_23269,jax_gene_23269,uniprot_Q8IWI9,omnigene_23269
KMT2A,MLL,es_20200422173916192819,es_20200422173916192846,es_20200422173916192864,geneInfo_gene_4297,jax_gene_4297,uniprot_Q03164,omnigene_4297
MS4A1,MS4A1,es_20200423071840266890,es_20200422173936075620,es_20200422173936075637,geneInfo_gene_931,jax_gene_931,uniprot_P11836,omnigene_931
MLLT3,MLLT3,es_20200526160142465000,es_20200422173921707214,es_20200526160300427000,geneInfo_gene_4300,jax_gene_4300,uniprot_P42568,omnigene_4300
MRE11,MRE11A,es_20200527095253686000,es_20200422173932811577,es_20200422173932811596,geneInfo_gene_4361,jax_gene_4361,uniprot_P49959,omnigene_4361
MST1R,MST1R,es_2020052710324749000,es_20200422173948404524,es_20200422173948404540,geneInfo_gene_4486,jax_gene_4486,uniprot_Q04912,omnigene_4486
