id,name,JaxGene_graph_id
,LUCT,jax_gene_3576
,LYNAP,jax_gene_3576
,MDNCF,jax_gene_3576
,MONAP,jax_gene_3576
,NAF,jax_gene_3576
,NAP-1,jax_gene_3576
,NAP1,jax_gene_3576
,ADMIO,jax_gene_6774
,ADMIO1,jax_gene_6774
,APRF,jax_gene_6774
,HIES,jax_gene_6774
,hHR54,jax_gene_8438
,HR54,jax_gene_8438
,hRAD54,jax_gene_8438
,RAD54A,jax_gene_8438
,CD30,jax_gene_943
,D1S166E,jax_gene_943
,Ki-1,jax_gene_943
,ACRDYS1,jax_gene_5573
,ADOHR,jax_gene_5573
,CAR,jax_gene_5573
,CNC,jax_gene_5573
,CNC1,jax_gene_5573
,PKR1,jax_gene_5573
,PPNAD1,jax_gene_5573
,PRKAR1,jax_gene_5573
,TSE1,jax_gene_5573
,Dyna III,jax_gene_26052
,DFNA39,jax_gene_1834
,DGI1,jax_gene_1834
,DMP3,jax_gene_1834
,DPP,jax_gene_1834
,DSP,jax_gene_1834
,EDF,jax_gene_3624
,FRP,jax_gene_3624
,CJS,jax_gene_2736
,HPE9,jax_gene_2736
,PHS2,jax_gene_2736
,THP1,jax_gene_2736
,THP2,jax_gene_2736
,LINC00079,jax_gene_5820
,MIR1204HG,jax_gene_5820
,NCRNA00079,jax_gene_5820
,onco-lncRNA-100,jax_gene_5820
,FGF-14,jax_gene_2259
,FHF-4,jax_gene_2259
,FHF4,jax_gene_2259
,SCA27,jax_gene_2259
,BIA1,jax_gene_81559
,RNF92,jax_gene_81559
,ASXH2,jax_gene_55252
,SHAPNS,jax_gene_55252
,Ga55,jax_gene_6867
,HSU24186,jax_gene_29935
,CCBR1,jax_gene_23657
,xCT,jax_gene_23657
,CC-CKR-2,jax_gene_729230
,CCR-2,jax_gene_729230
,CCR2A,jax_gene_729230
,CCR2B,jax_gene_729230
,CD192,jax_gene_729230
,CKR2,jax_gene_729230
,CKR2A,jax_gene_729230
,CKR2B,jax_gene_729230
,CMKBR2,jax_gene_729230
,MCP-1-R,jax_gene_729230
,FAM46C,jax_gene_54855
,COM1,jax_gene_5932
,CTIP,jax_gene_5932
,JWDS,jax_gene_5932
,RIM,jax_gene_5932
,SAE2,jax_gene_5932
,SCKL2,jax_gene_5932
,FAM123B,jax_gene_139285
,OSCS,jax_gene_139285
,WTX,jax_gene_139285
,ADA2,jax_gene_6871
,ADA2A,jax_gene_6871
,hADA2,jax_gene_6871
,KL04P,jax_gene_6871
,TADA2L,jax_gene_6871
,KIAP,jax_gene_79444
,LIVIN,jax_gene_79444
,ML-IAP,jax_gene_79444
,MLIAP,jax_gene_79444
,RNF50,jax_gene_79444
,TCF-4,jax_gene_6934
,TCF4,jax_gene_6934
,RYD5,jax_gene_147199
,ARO,jax_gene_1588
,ARO1,jax_gene_1588
,CPV1,jax_gene_1588
,CYAR,jax_gene_1588
,CYP19,jax_gene_1588
,CYPXIX,jax_gene_1588
,P-450AROM,jax_gene_1588
,ARMD5,jax_gene_2074
,CKN2,jax_gene_2074
,COFS,jax_gene_2074
,COFS1,jax_gene_2074
,CSB,jax_gene_2074
,CSB-PGBD3,jax_gene_2074
,POF11,jax_gene_2074
,RAD26,jax_gene_2074
,UVSS1,jax_gene_2074
,GRAF,jax_gene_23092
,GRAF1,jax_gene_23092
,OPHN1L,jax_gene_23092
,OPHN1L1,jax_gene_23092
,hSGT2,jax_gene_8496
,hSgt2p,jax_gene_8496
,L2,jax_gene_8496
,SGT2,jax_gene_8496
,dgt5,jax_gene_23354
,KIAA0841,jax_gene_23354
,B37,jax_gene_1822
,CHEDDA,jax_gene_1822
,D12S755E,jax_gene_1822
,DRPLA,jax_gene_1822
,HRS,jax_gene_1822
,NOD,jax_gene_1822
,FBP,jax_gene_8880
,FUBP,jax_gene_8880
,hDH V,jax_gene_8880
,GRF2,jax_gene_5924
,RAS-GRF2,jax_gene_5924
,NFAT1,jax_gene_4773
,NFATP,jax_gene_4773
,12CC4,jax_gene_27086
,hFKH1B,jax_gene_27086
,HSPC215,jax_gene_27086
,MFH,jax_gene_27086
,QRF1,jax_gene_27086
,MMP-14,jax_gene_4323
,MMP-X1,jax_gene_4323
,MT-MMP,jax_gene_4323
,MT-MMP 1,jax_gene_4323
,MT1-MMP,jax_gene_4323
,MT1MMP,jax_gene_4323
,MTMMP1,jax_gene_4323
,WNCHRS,jax_gene_4323
,GAKIN,jax_gene_23303
,BTBD12,jax_gene_84464
,FANCP,jax_gene_84464
,MUS312,jax_gene_84464
,LIBC,jax_gene_8838
,PPAC,jax_gene_8838
,PPD,jax_gene_8838
,WISP-3,jax_gene_8838
,WISP3,jax_gene_8838
,ARTD13,jax_gene_56829
,FLB6421,jax_gene_56829
,PARP13,jax_gene_56829
,ZAP,jax_gene_56829
,ZC3H2,jax_gene_56829
,ZC3HDC2,jax_gene_56829
,ARCD1,jax_gene_10930
,ARP1,jax_gene_10930
,H3,jax_gene_126961
,H3.2,jax_gene_126961
,H3/M,jax_gene_126961
,H3F2,jax_gene_126961
,H3FM,jax_gene_126961
,H3FN,jax_gene_126961
,HIST2H3C,jax_gene_126961
,ACF,jax_gene_29974
,ACF64,jax_gene_29974
,ACF65,jax_gene_29974
,APOBEC1CF,jax_gene_29974
,ASP,jax_gene_29974
,FAG,jax_gene_2189
,XRCC9,jax_gene_2189
,GOLIM5,jax_gene_9950
,ret-II,jax_gene_9950
,RFG5,jax_gene_9950
,H3/k,jax_gene_8357
,H3C1,jax_gene_8357
,H3C11,jax_gene_8357
,H3C12,jax_gene_8357
,H3C2,jax_gene_8357
,H3C3,jax_gene_8357
,H3C4,jax_gene_8357
,H3C6,jax_gene_8357
,H3C7,jax_gene_8357
,H3C8,jax_gene_8357
,H3F1K,jax_gene_8357
,H3FK,jax_gene_8357
,HIST1H3H,jax_gene_8357
,p12,jax_gene_57804
,POLDS,jax_gene_57804
,MAJN,jax_gene_399687
,MYSPDZ,jax_gene_399687
,SP-R210,jax_gene_399687
,SPR210,jax_gene_399687
,H3/j,jax_gene_8356
,H3C1,jax_gene_8356
,H3C10,jax_gene_8356
,H3C11,jax_gene_8356
,H3C2,jax_gene_8356
,H3C3,jax_gene_8356
,H3C4,jax_gene_8356
,H3C6,jax_gene_8356
,H3C7,jax_gene_8356
,H3C8,jax_gene_8356
,H3FJ,jax_gene_8356
,HIST1H3J,jax_gene_8356
,cC1qR,jax_gene_811
,CRT,jax_gene_811
,HEL-S-99n,jax_gene_811
,RO,jax_gene_811
,SSA,jax_gene_811
,DEP.5,jax_gene_9681
,FFEVF,jax_gene_9681
,FFEVF1,jax_gene_9681
,BENTA,jax_gene_84433
,BIMP3,jax_gene_84433
,CARMA1,jax_gene_84433
,IMD11,jax_gene_84433
,IMD11A,jax_gene_84433
,PPBL,jax_gene_84433
,D6S182,jax_gene_3326
,HSP84,jax_gene_3326
,HSP90B,jax_gene_3326
,HSPC2,jax_gene_3326
,HSPCB,jax_gene_3326
,HEL-S-61,jax_gene_3799
,KINH,jax_gene_3799
,KNS,jax_gene_3799
,KNS1,jax_gene_3799
,UKHC,jax_gene_3799
,END,jax_gene_2022
,HHT1,jax_gene_2022
,ORW1,jax_gene_2022
,AR-JP,jax_gene_5071
,LPRS2,jax_gene_5071
,PARK2,jax_gene_5071
,PDJ,jax_gene_5071
,PTC2,jax_gene_8643
,Imp7,jax_gene_10527
,RANBP7,jax_gene_10527
,CD317,jax_gene_684
,TETHERIN,jax_gene_684
,DBC-1,jax_gene_57805
,DBC1,jax_gene_57805
,KIAA1967,jax_gene_57805
,NET35,jax_gene_57805
,p30 DBC,jax_gene_57805
,p30DBC,jax_gene_57805
,FAF,jax_gene_2188
,OSRC,jax_gene_5925
,p105-Rb,jax_gene_5925
,p110-RB1,jax_gene_5925
,pp110,jax_gene_5925
,PPP1R130,jax_gene_5925
,pRb,jax_gene_5925
,RB,jax_gene_5925
,ARA267,jax_gene_64324
,KMT3B,jax_gene_64324
,SOTOS,jax_gene_64324
,SOTOS1,jax_gene_64324
,STO,jax_gene_64324
,NF-ATC,jax_gene_4772
,NF-ATc1.2,jax_gene_4772
,NFAT2,jax_gene_4772
,NFATc,jax_gene_4772
,bK984G1.4,jax_gene_2130
,EWS,jax_gene_2130
,EWS-FLI1,jax_gene_2130
,PSR,jax_gene_23210
,PTDSR,jax_gene_23210
,PTDSR1,jax_gene_23210
,LIG3,jax_gene_121227
,MAST205,jax_gene_23139
,MTSSK,jax_gene_23139
,CDC20C,jax_gene_51343
,CDH1,jax_gene_51343
,FZR,jax_gene_51343
,FZR2,jax_gene_51343
,HCDH,jax_gene_51343
,HCDH1,jax_gene_51343
,AF10,jax_gene_8028
,API1,jax_gene_329
,c-IAP1,jax_gene_329
,cIAP1,jax_gene_329
,Hiap-2,jax_gene_329
,HIAP2,jax_gene_329
,MIHB,jax_gene_329
,RNF48,jax_gene_329
,CATC5,jax_gene_55750
,CTRCT38,jax_gene_55750
,MTDPS10,jax_gene_55750
,MULK,jax_gene_55750
,HEX1,jax_gene_9156
,hExoI,jax_gene_9156
,ETL4,jax_gene_56243
,SKT,jax_gene_56243
,EPG3,jax_gene_81671
,TANGO5,jax_gene_81671
,TMEM49,jax_gene_81671
,Oct-3,jax_gene_5460
,Oct-4,jax_gene_5460
,OCT3,jax_gene_5460
,OCT4,jax_gene_5460
,OTF-3,jax_gene_5460
,OTF3,jax_gene_5460
,OTF4,jax_gene_5460
,CT5.4,jax_gene_6759
,A170,jax_gene_8878
,DMRV,jax_gene_8878
,FTDALS3,jax_gene_8878
,NADGP,jax_gene_8878
,OSIL,jax_gene_8878
,p60,jax_gene_8878
,p62,jax_gene_8878
,p62B,jax_gene_8878
,PDB3,jax_gene_8878
,ZIP3,jax_gene_8878
,HHL,jax_gene_9910
,TBC1D18,jax_gene_9910
,PACE-1,jax_gene_57147
,PACE1,jax_gene_57147
,SSMED,jax_gene_7518
,ALS2CR7,jax_gene_65061
,PFTAIRE2,jax_gene_65061
,PFTK2,jax_gene_65061
,PR264,jax_gene_6427
,SC-35,jax_gene_6427
,SC35,jax_gene_6427
,SFRS2,jax_gene_6427
,SFRS2A,jax_gene_6427
,SRp30b,jax_gene_6427
,71-7A,jax_gene_8481
,CXorf5,jax_gene_8481
,JBTS10,jax_gene_8481
,RP23,jax_gene_8481
,SGBS2,jax_gene_8481
,Cast2,jax_gene_23085
,ELKS,jax_gene_23085
,ERC-1,jax_gene_23085
