surname,firstInitial,graph_id
Koike,M,author_koike_m
Fujiwara,M,author_fujiwara_m
Kodera,Y,author_kodera_y
Nomoto,S,author_nomoto_s
Mohapatra,B,author_mohapatra_b
Ahmad,G,author_ahmad_g
Nadeau,S,author_nadeau_s
Zutshi,N,author_zutshi_n
An,W,author_an_w
Magnuson,NS,author_magnuson_ns
Reeves,R,author_reeves_r
Scheffe,S,author_scheffe_s
Dong,L,author_dong_l
Feng,D,author_feng_d
Goetz,B,author_goetz_b
Arya,P,author_arya_p
Bailey,TA,author_bailey_ta
Palermo,N,author_palermo_n
Borgstahl,GE,author_borgstahl_ge
Natarajan,A,author_natarajan_a
Raja,SM,author_raja_sm
Naramura,M,author_naramura_m
Band,V,author_band_v
Band,H,author_band_h
Liyasova,MS,author_liyasova_ms
Ma,K,author_ma_k
Lipkowitz,S,author_lipkowitz_s
Wang,L,author_wang_l
Liao,Q,author_liao_q
Huang,Y,author_huang_y
Ye,H,author_ye_h
Xu,L,author_xu_l
Ye,M,author_ye_m
Duan,S,author_duan_s
Tanaka,T,author_tanaka_t
Sho,M,author_sho_m
Takayama,T,author_takayama_t
Arai,Y,author_arai_y
Tonooka,A,author_tonooka_a
Hama,N,author_hama_n
Aoyama,T,author_aoyama_t
Asanuma,H,author_asanuma_h
Tsukahara,T,author_tsukahara_t
Kaya,M,author_kaya_m
Hasegawa,T,author_hasegawa_t
Chen,L,author_chen_l
Tang,Y,author_tang_y
Wang,J,author_wang_j
Yan,Z,author_yan_z
Xu,R,author_xu_r
Xu,MM,author_xu_mm
Mao,GX,author_mao_gx
Li,JC,author_li_jc
Huang,H,author_huang_h
Liu,YF,author_liu_yf
Liu,JH,author_liu_jh
Xiang-qiang,L,author_xiang_qiang_l
Shan-hong,T,author_shan_hong_t
Zhi-yong,Z,author_zhi_yong_z
Hai-feng,J,author_hai_feng_j
Su,L,author_su_l
Liu,X,author_liu_x
Chai,N,author_chai_n
Lv,L,author_lv_l
Wang,R,author_wang_r
Li,X,author_li_x
Nie,Y,author_nie_y
Shi,Y,author_shi_y
Fan,D,author_fan_d
Cai,Z,author_cai_z
Xu,D,author_xu_d
Logothetis,CJ,author_logothetis_cj
Hung,MC,author_hung_mc
Zhang,S,author_zhang_s
Lin,HK,author_lin_hk
Lv,Y,author_lv_y
Niu,Y,author_niu_y
Li,C,author_li_c
Zheng,X,author_zheng_x
Geng,Q,author_geng_q
Yan,J,author_yan_j
Liu,C,author_liu_c
Jiang,JY,author_jiang_jy
Liu,H,author_liu_h
Li,XY,author_li_xy
Yuan,Y,author_yuan_y
Zong,ZH,author_zong_zh
Wang,HQ,author_wang_hq
Lee,Y,author_lee_y
Lim,HS,author_lim_hs
Philley,JV,author_philley_jv
Kannan,A,author_kannan_a
Dasgupta,S,author_dasgupta_s
Wang,H,author_wang_h
Wang,B,author_wang_b
Zhao,K,author_zhao_k
Jiang,W,author_jiang_w
Bai,W,author_bai_w
Hill,S,author_hill_s
Harrison,JS,author_harrison_js
Lewis,SM,author_lewis_sm
Kuhlman,B,author_kuhlman_b
Kleiger,G,author_kleiger_g
